"","V1"
"TSPAN6",7.5517
"TNMD",0
"DPM1",42.1522
"SCYL3",4.6028
"C1orf112",2.499
"FGR",2
"CFH",8.06
"FUCA2",35.5404
"GCLC",3.3493
"NFYA",27.7316
"STPG1",2.1554
"NIPAL3",2.9054
"LAS1L",5.105
"ENPP4",1.6924
"SEMA3F",32.5569
"CFTR",0.0525
"ANKIB1",7.0244
"CYP51A1",0.1774
"KRIT1",0.8941
"RAD52",0.7182
"BAD",8.918
"LAP3",48.0115
"CD99",82.5598
"CD99",0
"HS3ST1",0.6385
"AOC1",0.0551
"WNT16",0.0266
"HECW1",0.1061
"MAD1L1",0.0168
"LASP1",26.0145
"SNX11",4.8004
"TMEM176A",8.3765
"M6PR",16.8934
"KLHL13",0.8317
"CYP26B1",0.4126
"ICA1",16.8576
"DBNDD1",16.8192
"ALS2",2.8486
"CASP10",1.2684
"CFLAR",4.2289
"TFPI",0.9604
"NDUFAF7",3.1766
"RBM5",5.0098
"MTMR7",0.1682
"SLC7A2",3.1521
"ARF5",85.3116
"SARM1",0.4823
"POLDIP2",66.6742
"PLXND1",18.0231
"AK2",23.4654
"CD38",0.6542
"FKBP4",27.1886
"KDM1A",33.3348
"RBM6",9.4362
"CAMKK1",1.7381
"RECQL",3.6166
"VPS50",2.252
"HSPB6",0.827
"ARHGAP33",1.3355
"NDUFAB1",53.9505
"PDK4",0.7883
"SLC22A16",0.0401
"ZMYND10",6.9095
"ABCB5",0.0038
"ARX",0.1005
"SLC25A13",9.8002
"ST7",9.0058
"CDC27",7.3614
"SLC4A1",0.0034
"CALCR",0.0124
"HCCS",11.5773
"DVL2",5.2743
"PRSS22",4.3325
"UPF1",16.6073
"SKAP2",1.985
"SLC25A5",180.2778
"MCUB",5.8939
"HOXA11",0.3713
"POLR2J",38.3053
"DHX33",2.7874
"MEOX1",0.039
"THSD7A",0.0955
"LIG3",2.0918
"RPAP3",4.9272
"ACSM3",0.0579
"REXO5",2.7874
"CIAPIN1",15.6817
"SPPL2B",7.3218
"FAM214B",3.4749
"COPZ2",15.0306
"PRKAR2B",3.8513
"MSL3",3.7177
"CREBBP",6.0121
"TSPOAP1",1.0718
"MPO",0.0789
"PON1",0.0393
"GCFC2",3.4222
"WDR54",9.0904
"CROT",7.105
"ABCB4",0.2745
"KMT2E",8.2685
"RHBDD2",55.7076
"SOX8",0.0545
"IBTK",6.9202
"ZNF195",1.9079
"MYCBP2",3.2792
"FBXL3",8.4213
"ITGAL",1.1687
"PDK2",2.0468
"ITGA3",7.4168
"ZFX",7.0134
"LAMP2",28.2086
"ITGA2B",0.1008
"ASB4",0.0189
"GDE1",21.9986
"REX1BD",7.5361
"CRLF1",2.4673
"OSBPL7",0.7779
"TMEM98",6.9727
"YBX2",0.4431
"KRT33A",0.0801
"MAP3K14",1.5124
"ABCC8",1.0111
"CACNG3",0
"TMEM132A",21.6408
"AP2B1",25.4787
"TAC1",0.0406
"ZNF263",4.2744
"CX3CL1",12.1338
"SPATA20",11.9668
"CACNA1G",0.0691
"TNFRSF12A",48.3702
"DLX6",0.0959
"MAP3K9",1.1806
"RALA",29.4467
"BAIAP2L1",6.0341
"KDM7A",3.5618
"ETV1",1.3835
"AGK",3.2445
"ALDH3B1",1.8186
"TTC22",4.2339
"PHTF2",2.1036
"CCL26",0.9646
"FARP2",1.0938
"USH1C",0.0177
"GGCT",63.3566
"DBF4",3.6176
"TBXA2R",1.2732
"IFRD1",0.9264
"LGALS14",0.0769
"COX10",1.4439
"GTF2IRD1",10.1616
"PAF1",32.5311
"VPS41",4.9504
"ARHGAP44",1.2572
"ELAC2",9.0641
"SCIN",3.6837
"ARSD",18.1628
"PNPLA4",13.9472
"MYH13",0.1165
"ADIPOR2",14.2779
"CDKL3",0.1877
"UPP2",0.0294
"PRSS21",0.0707
"MARK4",9.4752
"PROM1",0.3544
"CCDC124",38.6706
"CEACAM21",0.1319
"PAFAH1B1",5.3625
"NOS2",0.1067
"DNAH9",0.0051
"KIAA0100",12.9771
"SLC13A2",0.2641
"GAS7",2.2476
"TRAPPC6A",45.0266
"MATK",3.0003
"CEACAM7",0.3408
"CD79B",0.4722
"SCN4A",0.0338
"ST7L",1.2996
"TKTL1",0.0148
"PAX6",0.0413
"RPUSD1",13.4634
"RHBDF1",11.0507
"LUC7L",6.0363
"CACNA2D2",1.9531
"BAIAP3",0.6917
"TSR3",29.3731
"PIGQ",8.7051
"CRAMP1",2.2676
"TEAD3",16.892
"SELE",0.3375
"DNAJC11",5.812
"FMO3",1.7292
"MYLIP",10.8563
"NOX1",0.6086
"E2F2",1.7827
"PSMB1",143.3916
"SYN1",0.2376
"JARID2",5.7589
"CDKL5",0.5694
"CAMK1G",0.0836
"CDK11A",0.3249
"NADK",13.7794
"TFAP2B",53.1589
"TFAP2D",0
"DLEC1",0.0834
"CYTH3",7.2361
"ADAM22",0.2138
"SYPL1",37.8628
"CYB561",56.0781
"SPAG9",4.4902
"CELSR3",0.3063
"AASS",0.7436
"PLEKHG6",2.8531
"SS18L2",11.6776
"MPND",4.7692
"MGST1",18.8346
"CRY1",4.178
"PGLYRP1",0
"NFIX",9.6033
"ST3GAL1",12.5913
"MMP25",0.2826
"IL32",10.214
"PKD1",1.2703
"MAPK8IP2",23.8746
"MED24",29.2067
"RHOBTB2",1.7622
"HEATR5B",3.6241
"SEC62",29.4204
"RPS20",263.4261
"CSDE1",119.1471
"UBE3C",11.0386
"REV3L",1.3225
"TENM1",0.0108
"PAX7",0.5238
"MASP2",0.1389
"IYD",0.1091
"FAM76A",5.1958
